giraffe,68.263,89.859,303.45,257.098,0.359429
giraffe,227.277,190.576,475.11,474.315,0.239867
giraffe,299.554,60.241,593.137,480.0,0.141014
giraffe,46.025,86.713,338.288,380.845,0.123551
giraffe,202.087,129.626,437.398,468.213,0.114065
giraffe,140.602,201.57,433.693,472.807,0.078304
giraffe,150.95,161.894,417.948,382.302,0.073879
giraffe,95.003,121.985,412.36,357.219,0.071639
giraffe,282.126,121.99,488.016,480.0,0.065846
giraffe,373.883,180.765,590.523,472.894,0.060281
giraffe,246.94,129.743,459.993,411.31,0.052907
giraffe,299.117,188.996,521.149,472.289,0.050682
giraffe,193.775,128.824,442.58,357.295,0.049525
giraffe,210.493,194.381,429.29,404.936,0.042329
giraffe,52.754,72.492,279.906,220.394,0.037622
giraffe,198.568,208.545,375.512,386.269,0.035279
giraffe,150.436,180.033,363.255,360.247,0.032504
giraffe,117.877,138.022,402.279,455.832,0.025329
giraffe,263.498,173.818,443.884,367.095,0.020323
giraffe,417.85,110.031,594.269,480.0,0.017791
chair,160.494,368.028,268.356,480.0,0.014563
giraffe,219.037,206.855,338.599,353.523,0.011882
giraffe,252.408,114.843,586.195,369.124,0.009534
giraffe,297.235,181.66,425.413,344.743,0.009174
giraffe,104.76,151.733,338.576,383.319,0.008655
giraffe,259.548,351.619,380.794,462.26,0.008118
giraffe,149.796,260.149,367.26,469.123,0.008099
giraffe,238.461,229.356,351.331,358.457,0.005932
bicycle,1.63,73.788,322.491,398.021,0.005032
giraffe,253.82,339.74,453.381,473.696,0.004826
bench,160.494,368.028,268.356,480.0,0.004509
frisbee,600.371,330.766,637.811,365.373,0.004461
giraffe,318.049,243.077,575.396,475.73,0.004376
giraffe,109.394,110.981,317.877,239.3,0.004146
giraffe,600.953,336.98,637.893,382.563,0.00406
giraffe,424.456,243.927,596.929,477.826,0.003714
giraffe,276.766,130.743,497.792,352.282,0.003709
giraffe,286.053,156.018,543.173,392.113,0.003612
giraffe,171.535,343.06,395.999,472.255,0.003439
umbrella,600.371,330.766,637.811,365.373,0.003329
chair,161.751,400.565,264.962,474.282,0.003151
giraffe,166.337,132.486,300.952,231.704,0.003104
giraffe,274.627,0.0,607.443,368.152,0.002859
frisbee,5.73,239.238,38.184,259.011,0.002813
giraffe,136.528,90.147,366.457,331.138,0.002739
giraffe,595.226,299.798,638.372,378.177,0.002672
frisbee,602.48,338.057,637.164,357.443,0.002663
giraffe,278.415,369.545,365.321,478.939,0.002594
giraffe,332.821,164.517,433.097,259.677,0.002544
chair,177.004,357.102,337.705,480.0,0.002465
sports ball,7.873,238.964,37.717,257.27,0.002298
giraffe,463.184,182.186,601.607,473.177,0.002244
giraffe,288.121,150.319,479.81,275.642,0.002114
giraffe,208.198,176.815,318.851,355.612,0.002026
giraffe,264.48,149.584,394.545,348.394,0.001948
giraffe,258.44,342.178,370.975,421.211,0.001921
giraffe,255.591,214.685,366.588,349.605,0.001847
sports ball,39.403,346.031,51.794,359.467,0.00181
bird,68.441,89.831,303.218,256.734,0.001778
umbrella,602.48,338.057,637.164,357.443,0.001771
giraffe,309.701,197.038,434.576,299.986,0.001757
person,1.736,222.491,113.267,396.705,0.001742
giraffe,274.916,124.423,566.613,302.579,0.001712
giraffe,79.198,87.052,350.342,224.086,0.001596
person,299.092,59.298,594.321,480.0,0.001575
giraffe,273.864,366.593,425.811,480.0,0.001486
giraffe,212.972,87.373,557.256,332.334,0.00148
person,265.883,184.037,497.216,479.444,0.001422
person,0.0,230.536,80.083,394.722,0.001399
giraffe,71.17,240.576,387.331,480.0,0.001392
giraffe,589.66,208.21,639.351,419.093,0.001387
chair,278.415,369.545,365.321,478.939,0.001365
giraffe,243.539,143.026,347.792,348.532,0.001305
giraffe,392.213,35.992,616.127,453.642,0.001272
person,39.403,346.031,51.794,359.467,0.001213
giraffe,358.033,322.356,527.214,474.325,0.001088
giraffe,0.0,64.496,271.208,346.096,0.001056
bicycle,72.05,161.109,316.316,377.564,0.001003
