sports ball,359.322,192.908,371.768,204.551,0.845148
tennis racket,305.33,163.926,378.571,221.279,0.821155
person,154.049,67.022,314.608,318.874,0.671788
sports ball,355.282,193.106,376.847,213.617,0.089885
tennis racket,355.282,193.106,376.847,213.617,0.006071
sports ball,347.134,180.782,381.356,220.664,0.005977
sports ball,362.027,193.593,376.203,205.582,0.00232
clock,272.047,157.619,293.233,169.695,0.001689
tennis racket,359.551,192.981,371.552,204.451,0.001635
sports ball,306.294,164.802,378.351,221.466,0.001576
skateboard,305.387,163.952,378.773,221.339,0.001504
baseball bat,305.387,163.952,378.773,221.339,0.001477
orange,359.551,192.981,371.552,204.451,0.001453
tennis racket,347.134,180.782,381.356,220.664,0.001248
person,305.387,163.952,378.773,221.339,0.001234
kite,305.387,163.952,378.773,221.339,0.001227
bicycle,305.387,163.952,378.773,221.339,0.00109
traffic light,359.551,192.981,371.552,204.451,0.001064
wine glass,305.387,163.952,378.773,221.339,0.001035
