donut,481.679,194.369,593.679,304.809,0.836466
donut,480.089,316.738,607.823,448.138,0.836267
donut,473.631,99.952,589.61,200.583,0.796356
donut,329.277,333.08,491.686,455.515,0.751686
donut,180.244,145.468,316.458,248.808,0.662053
donut,176.035,252.855,331.369,370.049,0.619224
donut,174.961,357.332,330.59,449.681,0.617192
donut,56.878,134.096,179.111,243.633,0.585106
donut,71.671,63.232,182.329,129.576,0.430838
donut,177.103,42.104,309.289,153.53,0.339221
donut,38.787,231.352,165.471,338.329,0.321993
donut,179.691,169.338,316.262,268.909,0.314392
donut,59.194,103.174,174.591,169.781,0.296872
donut,42.674,222.619,163.546,295.276,0.23977
donut,377.58,101.963,476.101,340.52,0.228335
donut,48.734,337.162,184.794,439.603,0.187523
donut,177.148,91.936,315.123,164.392,0.181799
donut,48.675,116.325,169.272,204.751,0.151257
sandwich,329.277,333.08,491.686,455.515,0.14108
donut,36.015,265.79,175.485,362.638,0.126883
donut,308.138,174.379,383.797,336.769,0.12095
donut,42.292,366.261,169.754,439.524,0.094057
sandwich,377.297,106.541,476.779,324.655,0.089622
donut,56.993,168.377,178.943,256.494,0.085827
donut,65.99,88.238,174.71,157.9,0.08439
cake,480.089,316.738,607.823,448.138,0.076315
donut,172.126,194.251,326.193,315.843,0.067734
donut,178.654,123.849,319.323,201.521,0.067471
donut,180.338,204.171,319.238,290.21,0.06304
donut,25.119,293.938,183.979,411.475,0.062022
donut,180.356,306.604,326.36,379.465,0.057429
donut,395.502,142.368,480.129,319.378,0.056245
donut,197.276,319.1,330.834,372.224,0.052838
donut,165.182,164.151,334.101,348.826,0.052492
donut,58.976,75.234,181.509,178.202,0.051112
cake,475.59,101.893,588.17,201.334,0.049504
hot dog,376.805,102.294,476.52,340.959,0.048556
donut,197.683,331.457,330.285,386.347,0.048165
donut,397.876,203.215,475.841,301.251,0.047094
donut,302.732,100.207,364.542,168.152,0.041487
donut,477.522,241.086,608.71,395.579,0.038899
hot dog,308.138,174.379,383.797,336.769,0.036515
donut,174.0,63.737,317.86,181.329,0.036356
donut,35.951,207.106,167.878,317.478,0.035676
sandwich,480.089,316.738,607.823,448.138,0.034385
donut,473.855,148.583,600.686,316.799,0.033215
hot dog,329.277,333.08,491.686,455.515,0.030021
donut,356.003,161.764,516.557,416.086,0.030011
orange,480.089,316.738,607.823,448.138,0.027942
donut,397.301,277.465,476.264,338.214,0.025376
donut,172.524,92.129,326.223,236.88,0.025054
cake,329.277,333.08,491.686,455.515,0.024008
donut,52.608,155.456,181.409,284.234,0.022914
donut,81.063,368.8,160.675,436.826,0.021788
donut,56.117,300.817,183.589,354.422,0.02106
donut,29.854,250.296,204.719,392.867,0.02046
donut,309.956,160.035,379.034,204.698,0.019722
dining table,234.801,162.623,640.0,469.109,0.019169
donut,51.073,113.676,133.488,186.128,0.019139
cake,176.331,41.509,310.012,155.274,0.018994
dining table,1.405,162.964,387.421,465.005,0.018013
donut,193.683,193.113,325.698,269.409,0.017312
hot dog,480.089,316.738,607.823,448.138,0.017138
donut,474.516,96.892,596.657,290.021,0.016832
hot dog,176.331,41.509,310.012,155.274,0.016554
cake,481.711,194.392,595.47,306.318,0.016485
donut,393.792,242.763,478.176,337.417,0.01579
donut,284.383,150.579,414.194,415.498,0.015526
donut,32.181,268.073,198.413,443.709,0.015122
donut,390.451,107.409,479.912,287.282,0.015092
donut,395.704,336.422,492.759,455.58,0.014741
dining table,171.524,222.404,332.959,367.619,0.014478
sandwich,176.331,41.509,310.012,155.274,0.013779
donut,264.786,190.226,613.274,428.472,0.012842
dining table,104.349,0.0,547.198,397.757,0.012767
orange,329.277,333.08,491.686,455.515,0.012601
sandwich,475.59,101.893,588.17,201.334,0.012592
dining table,181.925,145.635,316.364,249.452,0.012569
donut,375.684,88.304,588.796,358.605,0.012506
