potted plant,213.55,49.56,278.24,120.16
dining table,107.52,147.13,639.45,481.0
cup,381.97,221.21,567.17,345.96
knife,300.92,286.33,405.14,445.24
spoon,346.67,276.28,431.58,358.6
cake,179.15,263.57,305.1,404.72
book,257.22,194.11,386.29,286.63
bench,-0.0,148.96,64.35,230.91
bench,157.91,86.33,201.89,102.77
umbrella,294.0,0.0,398.85,104.67
umbrella,131.36,3.19,164.08,58.92
handbag,111.94,123.64,581.9,286.94
person,444.17,8.67,466.92,44.42
bench,106.04,99.04,171.04,148.49
bench,196.88,147.35,249.63,183.62
dining table,265.55,95.15,479.81,118.56
umbrella,104.35,1.49,132.84,46.03
