bottle,389.84,183.92,397.86,210.79
bottle,374.4,189.64,381.27,210.57
bottle,367.79,184.72,374.84,212.26
bottle,383.16,187.56,390.37,211.8
bottle,433.79,280.36,452.11,311.73
refrigerator,428.7,171.07,525.42,309.11
bottle,463.1,282.68,473.02,319.23
bottle,399.87,161.68,409.27,178.78
bottle,373.61,135.8,384.1,150.96
bottle,404.56,132.62,414.34,148.37
bottle,415.11,131.22,425.76,148.08
chair,159.04,409.16,310.4,480.0
wine glass,153.96,189.95,166.79,218.21
wine glass,141.01,190.76,157.11,227.3
wine glass,108.42,196.32,122.73,229.72
wine glass,58.59,196.12,78.25,233.75
wine glass,81.76,195.46,97.2,235.06
wine glass,95.89,196.13,107.72,233.06
cup,146.61,233.85,173.39,254.65
cup,114.56,236.81,137.79,256.33
cup,176.77,232.66,196.91,248.79
cup,196.65,228.88,216.64,244.39
bowl,506.25,221.5,562.4,232.03
microwave,377.72,227.45,431.0,257.81
oven,274.61,263.38,321.43,297.6
wine glass,76.17,194.99,87.01,234.67
wine glass,119.18,191.23,135.04,229.15
wine glass,133.3,192.93,144.05,228.3
cup,159.47,231.64,181.19,252.88
cup,512.83,134.18,528.23,155.56
cup,532.63,139.85,547.82,153.56
cup,506.11,146.68,512.37,154.88
cup,169.77,203.22,187.52,222.07
cup,133.77,233.33,149.09,253.54
bowl,505.95,211.57,535.13,216.25
bowl,505.14,219.24,562.03,223.45
bowl,509.26,215.43,561.29,220.67
bowl,506.83,212.69,562.45,218.76
bowl,362.88,171.41,376.24,180.46
dining table,372.78,459.12,509.92,474.08
