sports ball,596.57,293.78,610.38,301.22
person,253.32,243.73,366.55,404.93
person,107.47,301.3,237.01,412.61
person,25.53,269.29,127.2,412.08
person,76.23,191.66,105.07,236.44
person,247.29,185.44,276.46,235.45
person,193.14,209.98,223.18,237.51
person,148.91,193.7,180.06,235.68
person,0.07,221.17,33.55,299.07
person,544.81,211.75,566.55,232.75
baseball bat,223.14,300.79,275.88,308.39
baseball glove,218.39,324.92,238.66,355.5
person,20.46,237.09,63.18,296.53
person,174.28,213.99,193.18,238.9
person,18.77,194.87,44.41,240.5
person,512.31,203.13,528.7,232.85
