spoon,249.73,200.54,460.54,249.19
carrot,448.17,363.72,471.15,406.23
carrot,391.24,374.67,415.86,428.49
carrot,442.27,375.7,449.09,401.73
carrot,412.55,404.5,468.53,435.24
spoon,533.65,250.15,607.37,372.5
spoon,517.81,213.87,615.75,256.96
spoon,230.52,42.78,301.96,86.22
spoon,546.15,251.57,617.83,332.18
spoon,464.49,390.81,586.03,478.96
bowl,275.91,58.21,404.49,120.97
bowl,423.99,236.14,568.87,349.86
bowl,513.78,315.38,640.0,458.11
bowl,234.69,197.88,404.09,284.11
bowl,363.02,337.26,524.26,476.43
bowl,332.22,157.3,464.9,226.34
bowl,341.69,115.74,492.94,180.31
bowl,189.83,72.85,278.22,105.92
bowl,361.33,47.29,454.32,110.16
broccoli,199.46,254.35,217.71,285.94
broccoli,280.51,393.55,318.19,422.45
broccoli,170.36,269.84,191.9,298.93
carrot,462.6,401.48,488.97,433.17
carrot,415.04,417.75,428.68,449.5
dining table,0.0,41.94,640.0,480.0
fork,210.7,407.69,295.48,473.77
spoon,457.6,121.32,501.68,150.33
bowl,115.26,88.64,211.39,127.98
bowl,33.84,109.71,151.02,169.91
bowl,0.0,145.79,71.35,219.31
broccoli,115.3,340.83,155.3,366.28
carrot,379.31,413.34,415.74,443.34
carrot,577.34,377.01,589.52,392.04
carrot,372.9,388.96,404.27,416.21
carrot,168.75,359.55,210.51,401.32
carrot,420.82,373.65,443.21,396.04
carrot,434.1,446.58,454.74,457.18
spoon,526.71,129.89,546.35,139.18
broccoli,250.3,325.7,274.72,346.23
broccoli,288.99,290.28,306.51,323.58
broccoli,150.98,262.69,167.41,276.61
bowl,0.0,188.89,172.64,280.9
