chair,138.38,133.51,237.84,213.51
chair,243.96,137.61,327.79,256.31
fork,294.94,367.89,484.63,480.0
knife,274.18,360.36,291.03,480.0
pizza,136.66,391.91,474.35,474.35
dining table,119.19,75.3,263.3,151.15
person,208.18,-0.0,640.0,474.61
person,1.08,128.36,252.4,409.89
person,248.09,1.08,376.45,138.07
person,196.95,0.0,265.0,94.32
person,141.2,2.18,222.09,88.0
person,-0.0,0.0,130.28,174.43
person,131.15,0.0,162.22,55.5
person,406.77,1.22,441.49,85.33
cup,184.03,79.35,203.24,97.58
chair,0.28,134.14,45.14,303.51
chair,413.54,78.74,436.43,91.53
dining table,584.66,100.54,640.0,136.19
person,263.06,0.74,277.25,29.4
person,335.72,0.0,415.22,93.43
dining table,3.15,377.36,639.72,480.0
cup,163.16,77.92,181.86,101.3
cup,209.78,80.59,229.76,96.33
cup,228.12,75.91,244.65,99.29
