person,388.03,324.65,397.64,337.98
person,339.42,316.81,346.3,329.89
person,333.22,315.73,339.52,329.68
person,401.74,325.7,416.44,338.66
kite,434.24,192.44,452.6,207.44
kite,280.61,252.26,290.31,258.63
kite,435.83,82.73,446.21,95.23
kite,293.24,208.28,315.69,218.99
person,559.57,317.53,566.67,336.04
person,538.45,315.99,543.54,330.71
car,278.56,311.71,288.26,317.04
car,311.27,316.86,321.76,321.59
car,295.02,316.51,303.62,320.65
car,256.35,321.38,275.8,328.59
kite,62.67,340.52,104.34,353.91
kite,384.71,274.6,422.37,290.52
person,274.32,326.61,282.34,339.43
person,544.7,317.64,549.15,333.93
person,586.44,321.28,590.96,331.16
person,249.87,316.26,255.19,339.29
person,233.57,315.3,241.4,339.58
person,220.06,313.45,227.7,340.66
