baseball bat,539.09,121.4,543.09,148.64
baseball glove,566.96,186.44,575.87,193.13
baseball glove,76.74,97.16,83.71,106.37
baseball glove,279.48,25.03,284.94,29.75
person,372.19,25.03,389.44,52.66
person,271.1,18.4,298.12,55.56
person,209.34,22.61,231.54,53.62
person,74.62,79.12,93.15,127.2
person,530.83,136.21,559.87,190.8
person,567.61,160.02,594.37,198.05
person,592.37,154.71,619.55,201.31
person,556.03,23.96,569.92,33.63
person,545.19,21.04,554.84,47.2
person,596.85,8.21,605.81,18.36
person,265.33,6.43,283.02,33.77
person,568.15,29.27,580.02,53.01
person,580.99,32.19,587.71,56.11
