traffic light,89.3,197.24,112.83,230.02
traffic light,50.27,199.13,75.36,222.89
backpack,176.16,362.21,226.56,417.7
truck,249.17,277.96,454.11,400.93
truck,508.45,304.48,639.21,368.36
person,139.57,345.58,211.09,480.0
person,236.74,326.46,265.12,406.18
person,211.62,332.49,233.9,392.98
person,264.09,330.65,280.46,403.53
person,287.83,337.14,320.98,414.14
person,570.98,327.79,585.73,370.03
person,125.19,325.45,135.32,362.48
person,316.72,334.13,336.89,408.93
person,77.65,326.41,97.95,374.58
person,138.11,325.59,153.66,364.04
person,225.17,327.33,240.38,396.87
traffic light,227.37,296.5,238.67,307.89
traffic light,27.58,303.1,33.27,310.21
traffic light,28.93,276.6,34.75,288.36
backpack,208.47,340.87,219.77,360.45
handbag,306.74,360.16,319.25,373.93
person,190.83,330.6,211.46,370.37
truck,519.96,323.81,640.0,480.0
truck,55.24,301.11,196.47,360.95
truck,473.61,320.43,498.39,334.38
traffic light,89.93,177.97,104.96,192.62
handbag,93.13,344.24,99.01,356.72
person,537.16,328.86,551.24,368.68
traffic light,301.98,260.82,309.07,275.0
traffic light,295.6,261.4,301.99,273.6
traffic light,55.4,299.17,60.28,303.47
handbag,208.91,341.48,220.12,370.53
handbag,472.6,340.88,478.74,345.48
