chair,92.04,381.22,248.81,444.5
chair,11.03,577.54,82.84,639.48
person,4.33,31.42,156.03,486.5
cup,70.27,458.25,121.87,519.38
cup,347.22,159.86,368.9,178.62
knife,253.79,363.24,301.0,450.28
cake,142.38,424.27,402.7,573.84
person,341.39,100.49,416.0,428.74
dining table,19.38,392.94,416.0,640.0
person,148.13,44.58,343.73,431.46
cup,282.56,95.35,308.07,122.12
cup,346.5,67.93,369.94,89.98
cup,343.43,98.09,367.53,123.09
cup,379.91,96.72,397.55,120.02
cup,195.73,140.4,215.79,162.04
cup,176.16,137.14,199.73,161.95
cup,174.85,106.92,194.46,132.55
cup,140.57,138.28,159.33,160.55
